Timestamp,F1_415nm,F2_445nm,F3_480nm,F4_515nm,F5_555nm,F6_590nm,F7_630nm,F8_680nm
2025-07-30 19:21:29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2025-07-30 19:22:29,0.00,0.00,0.00,0.00,0.39,0.00,0.00,0.00
2025-07-30 19:23:29,0.00,0.00,0.00,0.00,0.14,0.00,0.00,0.00
2025-07-30 19:24:29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2025-07-30 19:25:29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2025-07-30 19:26:29,0.00,0.00,0.00,0.00,0.14,0.00,0.00,0.00
2025-07-30 19:27:29,0.00,0.00,0.00,0.00,0.04,0.00,0.00,0.00
2025-07-30 19:28:29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2025-07-30 19:29:29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2025-07-30 19:30:29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2025-07-30 19:31:29,0.00,0.00,0.00,0.25,1.93,0.57,0.36,0.82
2025-07-30 19:32:29,0.00,0.00,0.00,0.03,1.07,0.00,0.21,1.52
2025-07-30 19:33:29,0.03,0.48,0.03,1.10,9.31,7.07,2.10,4.48
2025-07-30 19:34:29,0.00,0.34,0.00,1.10,8.03,2.00,2.17,4.45
2025-07-30 19:35:29,0.00,0.00,0.00,0.00,0.14,1.00,0.00,0.10
2025-07-30 19:36:29,0.18,0.29,0.14,1.07,10.68,21.71,1.82,3.71
2025-07-30 19:37:29,0.00,0.10,0.00,0.31,3.31,0.69,0.72,1.83
2025-07-30 19:38:29,0.00,0.39,0.25,0.86,6.64,1.00,1.79,3.46
2025-07-30 19:39:29,0.04,1.04,0.75,2.21,15.82,10.79,4.32,7.71
2025-07-30 19:40:29,0.00,0.43,0.04,0.11,2.25,0.00,0.21,1.00
2025-07-30 19:41:29,0.00,0.00,0.00,0.03,1.72,0.14,0.00,1.00
2025-07-30 19:42:29,0.00,0.52,0.00,0.31,2.14,0.48,0.52,1.00
